name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
Alabama A & M University,AL,3,0,3,4,1,1,5,12,1,0,0,0,0,0,0,0,0,0.716006098,954,0,12210,9243,7699,8779,0.6833,0.6853,0.2833,20.28374137,0.365828092,23553,6.860000134,94.73999786,49720.22,14.88000011,4.840000153
University of Alabama at Birmingham,AL,3,0,3,4,1,1,5,12,0,0,0,0,0,0,0,0,0,0.885351923,1266,0,14431,11678,14264,11590,0.7564,0.3253,0.6181,23.60797466,0.341223671,34489,8.550000191,96.5,55735.22,10.90999985,3.450000048
Amridge University,AL,3,0,3,4,2,1,5,12,0,0,0,0,0,0,0,0,0,NULL,NULL,1,NULL,14093,4381,4672,0.7872,0.7852,0.3846,33.6722973,0.5125,15033.5,7.010000229,94.08999634,53683.7,10.64999962,3.599999905
University of Alabama in Huntsville,AL,3,0,3,4,1,1,5,12,0,0,0,0,0,0,0,0,0,0.73672375,1300,0,14651,8246,8156,9820,0.6538,0.2377,0.5925,22.72791963,0.310132159,44787,8.909999847,95.26999664,58688.62,9.369999886,3.640000105
Alabama State University,AL,3,0,3,4,1,1,5,12,1,0,0,0,0,0,0,0,0,0.979912956,955,0,13180,8535,9459,7701,0.6812,0.7205,0.3015,20.13099042,0.343434343,22080.5,6.760000229,94.52999878,46065.2,16.95999908,4.809999943
The University of Alabama,AL,3,0,3,4,1,1,5,13,0,0,0,0,0,0,0,0,0,0.789043163,1244,0,18883,13731,8912,10509,0.7753,0.1712,0.7219,21.1377014,0.225712689,66733.5,9.210000038,96.08000183,57928.41,10.05000019,3.25999999
Central Alabama Community College,AL,2,0,2,2,1,1,5,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,7367,1731,8098,6523,0.3824,0.2982,0.2048,23.07102804,0.549676026,22217,4.550000191,98.84999847,43985.14,13.55000019,3.75999999
Athens State University,AL,3,0,3,4,1,1,5,31,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,6761,7908,8834,0.4554,0.4036,NULL,30.38476563,0.477496484,29645.5,6.170000076,96.95999908,50752.1,10.43999958,3.380000114
Auburn University at Montgomery,AL,3,0,3,4,1,1,5,12,0,0,0,0,0,0,0,0,0,0.967988253,1069,0,12912,7879,7040,7885,0.6901,0.4821,0.3307,22.19980411,0.38189609,29671.5,9.090000153,96.84999847,50723.81,13,3.789999962
Auburn University,AL,3,0,3,4,1,1,5,13,0,0,0,0,0,0,0,0,0,0.711828813,NULL,0,17844,17273,8180,11093,0.8436,0.1301,0.7982,20.51679587,0.172647119,72031,10.81999969,94.91999817,59005.4,9.590000153,3.140000105
Birmingham-Southern College,AL,3,0,3,3,2,1,5,12,0,0,0,0,0,0,0,0,0,0.659081674,1214,0,17414,10137,11867,7636,0.8295,0.2152,0.7033,19.64479638,0.172494173,68094.5,11.67000008,95.69000244,64789.39,7.909999847,2.839999914
Chattahoochee Valley Community College,AL,2,0,1,2,1,1,5,41,0,1,0,0,0,0,0,0,0,NULL,NULL,0,2939,1380,6304,6452,0.3053,0.4568,0.1884,24.81025641,0.430267062,20813,5.460000038,94.87999725,46908.55,13.68999958,3.599999905
South University-Montgomery,AL,3,0,3,4,3,1,5,12,0,0,0,0,0,0,0,0,0,NULL,NULL,0,16604,9771,7130,5061,0.1731,0.5536,0.1225,30.00184319,0.472288337,20000,7.849999905,91.06999969,55764.27,10.69999981,3.680000067
Enterprise State Community College,AL,2,0,2,2,1,1,5,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,2125,3488,6070,8764,0.4672,0.3709,0.2793,23.94881517,0.421891605,20456,5.800000191,94.80000305,44274,13.15999985,3.859999895
Coastal Alabama Community College,AL,2,0,2,2,1,1,5,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,4793,2249,5588,7345,0.3761,0.3142,0.2448,23.5010648,0.43511965,24150,6.75,97.33000183,52162.04,11.05000019,3.440000057
Faulkner University,AL,3,0,3,4,2,1,5,12,0,1,0,0,0,0,0,0,0,0.646007817,1042,0,19162,13718,7932,6271,0.5511,0.461,0.2345,28.26047565,0.430031949,24037.5,7.849999905,96.58999634,52330.99,12.31000042,3.920000076
Gadsden State Community College,AL,1,0,2,2,1,1,5,13,1,0,0,0,0,0,0,0,0,NULL,NULL,0,3918,2113,5611,6832,0.4941,0.4522,0.2721,23.64507772,0.514954486,16623,5.199999809,97.47000122,43919.51,12.38000011,3.460000038
New Beginning College of Cosmetology,AL,1,0,1,1,3,1,5,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,12921,7442,2573,NULL,NULL,0.6538,0.7679,23.46017699,0.5,17173,NULL,NULL,NULL,NULL,NULL
George C Wallace Community College-Dothan,AL,2,0,1,2,1,1,5,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,1409,2844,7019,6455,0.6443,0.4331,0.2752,23.86608376,0.485153765,15816,5.329999924,97.13999939,43000.16,14.39999962,3.519999981
George C Wallace State Community College-Hanceville,AL,2,0,1,2,1,1,5,32,0,0,0,0,0,0,0,0,0,NULL,NULL,0,7359,3154,6618,7650,0.4066,0.3989,0.4486,23.44760433,0.498813157,27572,4.840000153,97.48999786,47769.34,9.699999809,2.900000095
George C Wallace State Community College-Selma,AL,2,0,2,2,1,1,5,32,0,1,0,0,0,0,0,0,0,NULL,NULL,0,1790,1737,4735,6309,0.5049,0.497,0.3456,22.87099567,0.512588117,14330,5.380000114,98.68000031,35579.05,24.12000084,5.139999866
Herzing University-Birmingham,AL,2,0,1,4,2,1,5,21,0,0,0,0,0,0,0,0,0,0.94095092,NULL,0,26887,13409,3760,6644,0.5161,0.6748,0.3,31.28994083,0.520903265,18321,7.510000229,93.69000244,60281.46,7.400000095,3.329999924
Huntingdon College,AL,3,0,3,3,2,1,5,12,0,0,0,0,0,0,0,0,0,0.693011647,1111,0,19872,13368,7326,7133,0.7975,0.3946,0.431,23.01775148,0.3456,37577,7.639999866,96.66000366,54037.99,10.60999966,3.289999962
Heritage Christian University,AL,3,0,3,4,2,1,5,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,4856,12070,9032,5072,1,0.5143,0.375,28.72,PrivacySuppressed,36524,6.699999809,95.87000275,51048.04,10.64000034,3.220000029
J. F. Drake State Community and Technical College,AL,1,0,1,2,1,1,5,12,1,0,0,0,0,0,0,0,0,NULL,NULL,0,5556,2149,6551,6085,0.5,0.4521,0.0976,27.25490196,0.589965398,13959,8.350000381,94.81999969,52646.49,11.81999969,4.329999924
J F Ingram State Technical College,AL,1,1,1,1,1,1,5,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,4430,33,12748,5888,1,0.1805,0.2123,36.40366973,0.491803279,0,NULL,NULL,NULL,NULL,NULL
Jacksonville State University,AL,3,0,3,4,1,1,5,23,0,0,0,0,0,0,0,0,0,0.7634265,1030,0,16366,6620,7545,7499,0.6823,0.4109,0.4744,22.62058319,0.36377025,35734,5.869999886,96.69000244,48389.27,11.44999981,3.559999943
Jefferson State Community College,AL,2,0,2,2,1,1,5,12,0,0,0,0,0,0,0,0,0,NULL,NULL,0,8197,3116,5217,6996,0.3566,0.2826,0.1864,24.41823588,0.450290778,25922,7.309999943,97.19000244,57833.36,9.779999733,3.150000095
