"","name","state","state_code.x","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","REGION","LOCALE","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"1","Adams State University","Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238,3154,16,44400,81400,56,3,"Adams State University","3",0,3,4,1,8,"7","33","0","0","0","0","0","1","0","0","0",0.998252766,1040,"0","11129","6779","8530","6465","0.4131","0.3717","0.3047",22.28733625,0.415130941,31933,8.050000191,0.415130941,"50726.71","11.84000015","3.829999924",1728,37,37,191,812,10,1776,126,165,0,1213
"2","Adventist University of Health Sciences","Florida","FL","Private","4 Year",4200,15150,19350,15150,19350,NA,14,51600,89800,88,5,"AdventHealth University","3",0,3,4,2,12,"5","11","0","0","0","0","0","1","0","0","0",0.902723735,NA,"0","24065","17977","9926","8241","0.9352","0.3571","0.3723",26.98307475,0.390205371,30567,7.71999979,0.390205371,"60028.37","8.300000191","3.359999895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Agnes Scott College","Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490,873,14,46000,83600,57,26,"Agnes Scott College","3",0,3,4,2,13,"5","21","0","0","0","0","0","0","0","0","1",0.698461538,NA,"0","10640","16707","15914","9450","0.6444","0.4083","0.7359",19.9525,0.211956522,45206,11.56999969,0.211956522,"69580.95","7.679999828","3.24000001",867,1,41,288,78,2,284,52,23,104,462
"4","Alabama Agricultural and Mechanical University","Alabama","AL","Public","4 Year",8379,9698,18077,17918,26297,NA,10,48700,83500,58,20,"Alabama A & M University","3",0,3,4,1,1,"5","12","1","0","0","0","0","0","0","0","0",0.716006098,954,"0","12210","9243","7699","8779","0.6833","0.6853","0.2833",20.28374137,0.365828092,23553,6.860000134,0.365828092,"49720.22","14.88000011","4.840000153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama State University","Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818,5519,20,39800,71500,61,16,"Alabama State University","3",0,3,4,1,1,"5","12","1","0","0","0","0","0","0","0","0",0.979912956,955,"0","13180","8535","9459","7701","0.6812","0.7205","0.3015",20.13099042,0.343434343,22080.5,6.760000229,0.343434343,"46065.2","16.95999908","4.809999943",3430,8,20,4950,68,3,208,56,76,130,5105
"6","Alaska Pacific University","Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130,579,3,50300,90000,67,6,"Alaska Pacific University","3",0,3,4,2,2,"8","11","0","0","1","0","0","0","1","0","0",0.96031746,NA,"0","20474","12185","13548","6497","0.4804","0.4103","0.3333",25.58219178,NA,38810,9.18999958,NA,"70542.98","7.050000191","4.71999979",384,87,10,13,15,4,321,41,88,0,170
"7","Albany College of Pharmacy and Health Sciences","New York","NY","Private","4 Year",10920,35105,46025,35105,46025,1563,1,81000,144800,82,2,"Albany College of Pharmacy and Health Sciences","3",0,3,4,2,36,"2","13","0","0","0","0","0","0","0","0","0",0.718238283,1295,"0","22102","25242","19020","9564","0.7544","0.2624","0.7168",20.75510204,0.216981132,79148,10.07999992,0.216981132,"60872.01","7.650000095","3.480000019",932,4,228,59,63,2,987,16,86,118,372
"8","Albertus Magnus College","Connecticut","CT","Private","4 Year",13200,32060,45260,32060,45260,1550,18,49700,85900,62,2,"Albertus Magnus College","3",0,3,4,2,9,"1","12","0","0","0","0","0","0","0","0","0",0.817269076,NA,"0","26375","15895","7842","7903","0.4079","0.4798","0.5384",28.57354759,0.533823529,33671,11.64999962,0.533823529,"65065.75","9.180000305","4.360000134",1031,6,7,515,217,2,647,20,125,11,767
"9","Albion College","Michigan","MI","Private","4 Year",12380,45775,58155,45775,58155,1268,7,52100,99300,44,23,"Albion College","3",0,3,3,2,26,"3","31","0","0","0","0","0","0","0","0","0",0.692762858,NA,"0","15364","11030","14265","7315","0.8258","0.4648","0.6585",19.62711864,0.279761905,54587.5,9.770000458,0.279761905,"71425.7","5.510000229","3.109999895",631,3,23,47,46,1,999,33,79,37,153
"10","Alcorn State University","Mississippi","MS","Public","4 Year",9608,7144,16752,7144,16752,3639,10,40900,69500,67,19,"Alcorn State University","3",0,3,4,1,28,"5","43","1","0","0","0","0","0","0","0","0",0.389084872,1086,"0","13484","3717","5536","6282","0.5809","0.6951","0.4349",21.55928533,0.345105328,18951,5.880000114,0.345105328,"38329.94","22.07999992","5.46999979",2395,3,10,3386,12,11,102,57,0,58,3479
"11","Alderson-Broaddus University","West Virginia","WV","Private","4 Year",8860,27910,36770,27910,36770,NA,3,50600,90500,72,15,"Alderson Broaddus University","3",0,3,4,2,54,"5","32","0","0","0","0","0","0","0","0","0",0.665322581,1030,"0","19330","11355","10189","5982","0.6329","0.5744","0.3181",20.63354037,0.360544218,50174,5.769999981,0.360544218,"44559.33","13.40999985","3.849999905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Allen College","Iowa","IA","Private","4 Year",7282,19970,27252,19970,27252,575,5,51600,91300,NA,0,"Allen College","3",0,3,4,2,19,"4","13","0","0","0","0","0","0","0","0","0",1,NA,"0",NA,"22007","10515","7528","0.4699","0.1497",NA,24.61923077,NA,56247,6.369999886,NA,"55286.77","5.690000057","2.710000038",524,0,7,13,2,2,518,5,24,4,29
"13","Alma College","Michigan","MI","Private","4 Year",10998,40258,51256,40258,51256,1396,15,48400,89900,52,15,"Alma College","3",0,3,3,2,26,"3","32","0","0","0","0","0","0","0","0","0",0.687757909,NA,"0","20146","13487","10315","7924","0.6947","0.2488","0.6691",19.77745665,0.241071429,70073,7.230000019,0.241071429,"61676.21","6.119999886","3.480000019",764,9,21,46,51,1,1162,36,56,14,164
