"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"1","Furman University","South Carolina","SC","Private",2,12712,49532,62244,49532,62244,2973,3,52100,98800,48,16,"Furman University","3",0,"3",4,2,45,"5","21","0","0","0",1,"0","0","0","0","0",0.713548927,1375,1,13911,22362,19837,9830,0.859,0.1105,0.8138,20.02066773,0.123778502,83896,11.89000034,0.123778502,71867.28,6.28000021,2.720000029,1725,3,53,158,113,0,2368,74,64,140,401
"2","Athens State University","Alabama","AL","Public",2,10480,6810,6810,12870,12870,3128,15,45000,78800,51,9,"Athens State University","3",0,"3",4,1,1,"5","31","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,6761,7908,8834,0.4554,0.4036,0.6135,30.38476563,0.477496484,29645.5,6.170000076,0.477496484,50752.1,10.43999958,3.380000114,2046,48,17,396,63,3,2423,54,107,17,581
"3","University of Maine at Fort Kent","Maine","ME","Public",2,8220,8115,16335,12315,20535,1327,11,43500,76300,73,5,"University of Maine at Fort Kent","3",0,"3",3,1,23,"1","43","0","0","0",1,"0","0","0","0","0",0.99875,1180,1,7554,6099,7165,6895,0.359,0.1705,0.3943,25.78910369,0.429118774,36734,4.619999886,0.429118774,44056.6,9.039999962,3.309999943,911,10,6,34,19,2,840,25,279,112,96
"4","Cardinal Stritch University","Wisconsin","WI","Private",2,8440,29998,38438,29998,38438,3811,20,47000,82500,51,2,"Cardinal Stritch University","3",0,"3",4,2,55,"3","21","0","0","0",1,"0","0","0","0","0",0.889078498,1062,1,15575,15078,8756,6628,0.3448,0.2734,0.536,26.0034188,0.454901961,36000,7.980000019,0.454901961,64348.07,7.980000019,3.74000001,2453,18,76,842,293,8,2253,71,129,121,1308
"5","Oberlin College","Ohio","OH","Private",2,16338,55054,71392,55054,71392,2978,13,53100,96800,47,21,"Oberlin College","3",0,"3",4,2,39,"3","31","0","0","0",1,"0","0","0","0","0",0.343399075,1419,1,12835,23147,25911,8927,0.8924,0.091,0.8428,19.3584,0.088669951,111580,16.90999985,0.088669951,76190.1,6.400000095,3.190000057,1647,3,124,154,215,2,2071,168,23,218,666
"6","Indiana University-Purdue University Indianapolis","Indiana","IN","Public",2,8924,9465,18389,29821,38745,3696,14,50500,88200,55,15,"Indiana University-Purdue University-Indianapolis","3",0,"3",4,1,18,"3","11","0","0","0",1,"0","0","0","0","0",0.836119521,1152,1,5818,11966,18305,8700,0.5338,0.3466,0.5449,22.08519249,0.35086149,45002,8.56000042,0.35086149,64749.24,6.199999809,2.900000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","College of Idaho","Idaho","ID","Private",2,9697,30155,39852,30155,39852,1144,5,44700,82100,48,17,"The College of Idaho","3",0,"3",4,2,16,"7","22","0","0","0",1,"0","0","0","0","0",0.562933025,1181,1,26037,8361,7891,7147,0.5969,0.2373,0.6187,20.35457064,0.268072289,63773,7.130000114,0.268072289,57741.96,7.869999886,3.609999895,600,6,32,22,175,5,725,24,76,79,264
"8","SUNY University at Stony Brook","New York","NY","Public",2,13698,9625,23323,27295,40993,3696,24,59200,107800,49,35,"Stony Brook University","3",0,"3",4,1,36,"2","21","0","0","0",1,"0","0","0","0","0",0.480580024,1393,1,12193,9750,18659,12966,0.6194,0.3596,0.7697,21.16012187,0.361408882,36504.5,11.23999977,0.361408882,76205.23,9.020000458,3.559999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ripon College","Wisconsin","WI","Private",2,8400,43808,52208,43808,52208,840,10,46300,89600,60,26,"Ripon College","3",0,"3",3,2,55,"3","32","0","0","0",1,"0","0","0","0","0",0.797666935,1153,1,12964,13178,11051,7584,0.9677,0.3676,0.6464,19.53562005,0.280802292,75858,7.21999979,0.280802292,66802.94,4.559999943,2.869999886,448,2,12,19,40,0,703,15,19,30,88
"10","University of Louisiana at Lafayette","Louisiana","LA","Public",2,8516,10616,19132,24344,32860,17195,5,48200,92500,52,19,"University of Louisiana at Lafayette","3",0,"3",4,1,22,"5","12","0","0","0",1,"0","0","0","0","0",0.783456624,1105,1,10428,10080,8676,8363,0.7553,0.3379,0.5063,21.93316413,0.384858044,41647.5,5.940000057,0.384858044,47090.8,15.47999954,4.340000153,9601,80,373,3377,547,15,11666,277,187,673,4669
"11","Monmouth University","New Jersey","NJ","Private",2,13981,38138,52119,38138,52119,6395,18,52200,93200,44,13,"Monmouth University","3",0,"3",4,2,34,"2","21","0","0","0",1,"0","0","0","0","0",0.835404483,1161,1,16451,23881,12195,9667,1,0.3066,0.7175,20.03964961,0.323076923,73885,11.27999973,0.323076923,87615.47,4.190000057,2.960000038,4073,8,215,351,585,7,4703,127,266,133,1293
"12","Reed College","Oregon","OR","Private",2,14210,56340,70550,56340,70550,1394,3,56100,104900,44,26,"Reed College","3",0,"3",4,2,41,"8","11","0","0","0",1,"0","0","0","0","0",0.438088445,1180,1,12553,36939,27013,10099,0.9897,0.1127,0.7441,19.42663044,0.296914538213626,93231,15.35999966,0.296914538213626,71777.6,7.170000076,3.480000019,745,4,80,26,146,3,813,113,94,115,372
